Function,./bin/1-1/testavl.exe.Delete,./bin/1-1/testavl.exe.DoubleRotateWithLeft,./bin/1-1/testavl.exe.DoubleRotateWithRight,./bin/1-1/testavl.exe.Find,./bin/1-1/testavl.exe.FindMax,./bin/1-1/testavl.exe.FindMin,./bin/1-1/testavl.exe.Height,./bin/1-1/testavl.exe.Insert,./bin/1-1/testavl.exe.MakeEmpty,./bin/1-1/testavl.exe.Max,./bin/1-1/testavl.exe.Retrieve,./bin/1-1/testavl.exe.SingleRotateWithLeft,./bin/1-1/testavl.exe.SingleRotateWithRight,./bin/1-1/testavl.exe.__do_global_ctors_aux,./bin/1-1/testavl.exe.__do_global_dtors_aux,./bin/1-1/testavl.exe.__libc_csu_fini,./bin/1-1/testavl.exe.__libc_csu_init,./bin/1-1/testavl.exe._fini,./bin/1-1/testavl.exe.call_gmon_start,./bin/1-1/testavl.exe.frame_dummy,./bin/1-1/testavl.exe.main,./bin/1-1/teststkl.exe.CreateStack,./bin/1-1/teststkl.exe.DisposeStack,./bin/1-1/teststkl.exe.IsEmpty,./bin/1-1/teststkl.exe.MakeEmpty,./bin/1-1/teststkl.exe.Pop,./bin/1-1/teststkl.exe.Push,./bin/1-1/teststkl.exe.Top,./bin/1-1/teststkl.exe.__do_global_ctors_aux,./bin/1-1/teststkl.exe.__do_global_dtors_aux,./bin/1-1/teststkl.exe.__libc_csu_fini,./bin/1-1/teststkl.exe.__libc_csu_init,./bin/1-1/teststkl.exe._fini,./bin/1-1/teststkl.exe.call_gmon_start,./bin/1-1/teststkl.exe.frame_dummy,./bin/1-1/teststkl.exe.main,./bin/1-1/testtree.exe.Delete,./bin/1-1/testtree.exe.Find,./bin/1-1/testtree.exe.FindMax,./bin/1-1/testtree.exe.FindMin,./bin/1-1/testtree.exe.Insert,./bin/1-1/testtree.exe.MakeEmpty,./bin/1-1/testtree.exe.Retrieve,./bin/1-1/testtree.exe.__do_global_ctors_aux,./bin/1-1/testtree.exe.__do_global_dtors_aux,./bin/1-1/testtree.exe.__libc_csu_fini,./bin/1-1/testtree.exe.__libc_csu_init,./bin/1-1/testtree.exe._fini,./bin/1-1/testtree.exe.call_gmon_start,./bin/1-1/testtree.exe.frame_dummy,./bin/1-1/testtree.exe.main
./src/1-1/avltree-O1.Delete,0.0,0.883054269617,0.883054269617,1.0,1.0,1.0,1.0,1.0,1.0,0.766108539233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.887061512137,0.892976256687,0.731548278958,1.0,1.0,0.790775464125,1.0,0.571905026749,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.890756302521,0.898251711499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.887061512137
./src/1-1/avltree-O1.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.FindMin,0.876695167845,0.815910649714,0.815910649714,1.0,1.0,1.0,1.0,1.0,1.0,0.907955324857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.773615371547,1.0,1.0,0.848479110742,1.0,0.920943058496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.Height,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.944875638346,1.0,1.0,1.0,0.941766797845,0.941766797845,0.642287014659,0.642287014659,1.0,1.0,1.0,1.0,1.0,0.851546636416,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642287014659,0.642287014659,1.0,1.0,1.0,1.0,1.0,0.863052072847,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642287014659,0.642287014659,1.0,1.0,1.0,1.0,1.0,0.851546636416
./src/1-1/avltree-O1.Max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736476861653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.116116523517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.SingleRotateWithLeft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O1.SingleRotateWithRight,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.Delete,0.731548278958,0.8937704268,0.8937704268,1.0,1.0,1.0,1.0,1.0,1.0,0.8937704268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.809605672353,0.875,1.0,1.0,0.907522192011,1.0,0.809605672353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.821549641858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,1.0,0.821143507329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0
./src/1-1/avltree-O2.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.FindMin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,1.0,0.821143507329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0
./src/1-1/avltree-O2.Height,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.Max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.SingleRotateWithLeft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O2.SingleRotateWithRight,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,1.0,0.821143507329,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0
./src/1-1/avltree-O3.Delete,0.731548278958,0.8937704268,0.8937704268,1.0,1.0,1.0,1.0,1.0,1.0,0.8937704268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.809605672353,0.875,1.0,1.0,0.907522192011,1.0,0.809605672353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.821549641858,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree-O3.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.645402136258,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0
./src/1-1/avltree-O3.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
