Function,./bin/1-2/sll-reverse.exe.__do_global_ctors_aux,./bin/1-2/sll-reverse.exe.__do_global_dtors_aux,./bin/1-2/sll-reverse.exe.__libc_csu_fini,./bin/1-2/sll-reverse.exe.__libc_csu_init,./bin/1-2/sll-reverse.exe._fini,./bin/1-2/sll-reverse.exe.add_node,./bin/1-2/sll-reverse.exe.call_gmon_start,./bin/1-2/sll-reverse.exe.delete_node,./bin/1-2/sll-reverse.exe.frame_dummy,./bin/1-2/sll-reverse.exe.list_nodes,./bin/1-2/sll-reverse.exe.list_nodes_in_reverse_order,./bin/1-2/sll-reverse.exe.main,./bin/1-2/sll-reverse.exe.reverse_with_recursion,./bin/1-2/sll-reverse.exe.reverse_with_recursion_anotherway,./bin/1-2/sll-reverse.exe.reverse_without_recursion
./src/1-2/list-O1.Advance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.Delete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.DeleteList,0.642287014659,1.0,1.0,0.904441539423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.929180284533,0.916666666667,1.0,1.0
./src/1-2/list-O1.FindPrevious,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.First,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.Header,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.IsEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-O1.IsLast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
